
2024/10/06 (14:34:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/06 (14:34:24) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/06 (14:36:19) | ===> btop++ v.1.4.0
2024/10/06 (14:36:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/06 (14:36:19) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/06 (15:07:59) | ===> btop++ v.1.4.0
2024/10/06 (15:07:59) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/06 (15:07:59) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/08 (20:41:25) | ===> btop++ v.1.4.0
2024/10/08 (20:41:25) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/08 (20:41:25) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/08 (21:28:29) | ===> btop++ v.1.4.0
2024/10/08 (21:28:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/08 (21:28:29) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/12 (10:18:28) | ===> btop++ v.1.4.0
2024/10/12 (10:18:28) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/12 (10:18:28) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/15 (20:24:21) | ===> btop++ v.1.4.0
2024/10/15 (20:24:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/15 (20:24:21) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/15 (20:26:59) | ===> btop++ v.1.4.0
2024/10/15 (20:26:59) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/15 (20:26:59) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/15 (20:27:20) | ===> btop++ v.1.4.0
2024/10/15 (20:27:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/15 (20:27:20) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/20 (19:09:52) | ===> btop++ v.1.4.0
2024/11/20 (19:09:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/20 (19:09:52) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/20 (21:23:11) | ===> btop++ v.1.4.0
2024/11/20 (21:23:11) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/20 (21:23:44) | ===> btop++ v.1.4.0
2024/11/20 (21:23:44) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/20 (22:40:21) | ===> btop++ v.1.4.0
2024/11/20 (22:40:21) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/20 (22:59:00) | ===> btop++ v.1.4.0
2024/11/20 (22:59:00) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/20 (22:59:06) | ===> btop++ v.1.4.0
2024/11/20 (22:59:06) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/22 (20:27:26) | ===> btop++ v.1.4.0
2024/11/22 (20:27:26) | WARNING: Intel GPU: Failed to initialize PMU
